clause_id,clause_text,category_produk,asp_kualitas_produk,asp_kesesuaian_deskripsi,asp_harga_value,asp_ukuran_varian,asp_rasa_kualitas_makanan,asp_kemasan,asp_pengiriman,asp_pelayanan_penjual,asp_kelengkapan,asp_keaslian,asp_kemudahan_penggunaan,sentimen,catatan_pelabel
r004144_c1,kualitas sesuai harga,fashion,,,1,,,,,,,,,netral,
r038909_c2,produknya sejauh ini bisa dipakai,other,,,,,,,,,,,,positif,
r018298_c0,ori fossil,fashion,,,,,,,,,,1,,positif,
r013731_c1,cuman produk g sesuai pesanan warna,electronics,,1,,,,,,,,,,negatif,
r002193_c2,eh ada bonus nya juga ya,other,,,,,,,,,,,,positif,
r022694_c2,kondisi mulus sesuai dengan deskripsi,electronics,1,1,,,,,,,,,,positif,
r028569_c0,barang tidak sesuai dengan yang original bawaannya,electronics,,1,,,,,,,,1,,negatif,
fresh_da156ecbea,eman juga beli dngn harga 40rb an,fashion,,,1,,,,,,,,,positif,
fresh_23f10d818d,"dingin bnget sya suka desain:desain cukup rapi cocok untuk sehari""",fashion,,,,,,,,,,,,positif,
r029079_c2,trims,electronics,,,,,,,,,,,,positif,
fresh_4117c3de05,kecewa sih sama toko ini order nya yang warna coklat yang dateng malah warna hitam tidak sesuai bangett,fashion,,1,,,,,,,,,,negatif,
fresh_ff91067013,tidak sesuai pesanan yang di pesan 2 yang datang satu,fashion,,1,,,,,,,,,,negatif,
r037016_c1,mudah dipakai,other,,,,,,,,,,,,positif,
r017397_c6,bahkan lebih banyak bonus nya dari pada apa yang saya beli,fashion,,,,,,,,,,,,positif,
r022589_c0,l 2 di pencet rada kurang enak,electronics,1,,,,,,,,,,,negatif,
fresh_7c6d490e2b,kenyamanan:enak tekstur:meral desain:ok jujur warna ny tidak sesuai ekspetasi ak,fashion,1,1,,,,,,,,,,netral,
r015606_c2,nyaman dipakai,fashion,1,,,,,,,,,,,positif,
r002748_c0,tidak sesuai gambar depan terlalu pendek,fashion,,1,,,,,,,,,,negatif,
r003715_c5,kurir beratnggung jawab dan pesankan lagi warna hitam pakai toko online lain,other,,1,,,,,1,,,,,positif,
r005807_c1,untuk mollar jangan pakai yang ini :),craft,,,,,,,,,,,,netral,
r014728_c2,tidak bisa kaki sakit,fashion,1,,,1,,,,,,,,negatif,
fresh_a3800afc77,bahannya tidak tipis enaken,fashion,1,,,,,,,,,,,negatif,
r025791_c1,dan sesuai deskripsi seller cepat respon,electronics,,1,,,,,,1,,,,positif,
r014206_c2,recommended seller banget,electronics,,,,,,,,,,,,positif,
r020131_c0,jam original n packaging rapi,fashion,,,,,,1,,,,,,positif,
r027502_c1,kok tidak bisa digunakan yaa,electronics,1,,,,,,,,,,1,negatif,
r003345_c0,nyaman banget dipakai,other,,,,,,,,,,,,positif,
r000576_c6,manis buatan banget,food_beverage,,,,,1,,,,,,,positif,
r014111_c3,bonus atau gimana ya sis,electronics,,,,,,,,,,,,positif,
r033124_c0,barang ori,electronics,,,,,,,,,,1,,positif,
r034115_c6,lengkap dengan plastik pembungkus nya,other,,,,,,1,,,,,,positif,
r038896_c0,mungkin lebih baik lagi kalau disediakan ukuran,other,,,,1,,,,,,,,negatif,
r000567_c0,kue nya pas dateng dicoba asem,food_beverage,,,,,1,,,,,,,negatif,
fresh_3d40b274c4,nyaman dan pas si ukuranku,fashion,,,,1,,,,,,,,positif,
r022682_c4,but oke lah,electronics,,,,,,,,,,,,netral,
r000413_c3,sambel ttp enak,food_beverage,,,,,1,,,,,,,positif,
r003680_c6,boro2 dikonsumsi,other,,,,,1,,,,,,,negatif,
r006695_c0,mantap,craft,,,,,,,,,,,,positif,
fresh_73322326fd,kenyamanan:td tau tekstur:licin desain:b saja terawang banget minta hitam dkirim putih,fashion,1,1,,,,,,,,,,negatif,
r013731_c2,di box hitam isinya doreng,electronics,,1,,,,,,,,,,negatif,
r015659_c1,nya sesuai gambar mungkin size&#39,fashion,,,,,,,,,,,,positif,
r003385_c1,penjualnya ramah banget nyaman di punggung packaging aman,other,1,,,,,1,,1,,,,positif,
r003393_c2,panjang tongkat 100cm ada 2 sisi,electronics,,,,,,,,,,,,netral,
r014106_c1,pas banget dengan body miro,electronics,1,,,,,,,,,,1,positif,
r034224_c0,barang tlh kmi terima dengan baik n cepat,other,,,,,,,1,,,,,positif,
r004137_c4,bahannya memang random dan tidak bisa milih,fashion,,,,,,,,,,,,netral,
r013406_c0,lumayan untuk harga yang semurah ini,electronics,,,1,,,,,,,,,positif,
r000094_c2,terus menghubungi cs nya,electronics,,,,,,,,1,,,,netral,
r034139_c1,lama nya kirim barang nya,other,,,,,,,1,,,,,negatif,
r002371_c2,barang bagus dan ori,other,1,,,,,,,,,1,,positif,
fresh_045857795e,ya sudah lah,fashion,,,,,,,,,,,,netral,
r022621_c0,bagus lumayan dengan harga segini,electronics,,,1,,,,,,,,,positif,
r036668_c1,kemasan oke,other,,,,,,1,,,,,,positif,
fresh_4e2df7ccf0,yang mahogany terlalu kecil bukan uk l itu,fashion,,,,1,,,,,,,,negatif,
r013134_c3,main jadi lebih asik,electronics,,,,,,,,,,,1,positif,
r013703_c0,mantap barang sesuai deskripsi terima kasih,electronics,1,,,,,,,,,,,positif,
r004231_c3,bisa kepakek untuk di rumah saja warnanya cantik,fashion,1,,,,,,,,,,,positif,
fresh_8e87c162bf,saya chekout nya warna coklat😕,fashion,,1,,,,,,,,,,negatif,
r011624_c0,kwalitas barang sesuai harga,electronics,,,1,,,,,,,,,positif,
fresh_5275da42cd,mines bukan warna yang saya mau tekstur:bahannya kaos tidak gerah juga enak ko,fashion,,1,,1,,,,,,,,negatif,
fresh_9c3aff9c67,yang dateng malah hitam,fashion,,1,,1,,,,,,,,negatif,
r000369_c0,proses cepat produk bagus finising mulus,other,1,,,,,,1,,,,,positif,
r022948_c3,rugi,electronics,,,1,,,,,,,,,negatif,
r018413_c0,produk ori lengkap dengan box,fashion,,,,,,1,,,1,1,,positif,
r000094_c4,hadeuhh,electronics,,,,,,,,,,,,negatif,
fresh_d075c5004d,sudah 1 minggu loh nungguin balasan,fashion,,,,,,,,1,,,,negatif,
r016641_c1,packing rapi,fashion,,,,,,1,,,,,,positif,
