clause_id,clause_text,category_produk,asp_kualitas_produk,asp_kesesuaian_deskripsi,asp_harga_value,asp_ukuran_varian,asp_rasa_kualitas_makanan,asp_kemasan,asp_pengiriman,asp_pelayanan_penjual,asp_kelengkapan,asp_keaslian,asp_kemudahan_penggunaan,sentimen,catatan_pelabel
fresh_23f10d818d,"dingin bnget sya suka desain:desain cukup rapi cocok untuk sehari""",fashion,,,,,,,,,,,,,
r029079_c2,trims,electronics,,,,,,,,,,,,,
fresh_4117c3de05,kecewa sih sama toko ini order nya yang warna coklat yang dateng malah warna hitam tidak sesuai bangett,fashion,,,,,,,,,,,,,
fresh_ff91067013,tidak sesuai pesanan yang di pesan 2 yang datang satu,fashion,,,,,,,,,,,,,
r037016_c1,mudah dipakai,other,,,,,,,,,,,,,
r017397_c6,bahkan lebih banyak bonus nya dari pada apa yang saya beli,fashion,,,,,,,,,,,,,
r022589_c0,l 2 di pencet rada kurang enak,electronics,,,,,,,,,,,,,
fresh_7c6d490e2b,kenyamanan:enak tekstur:meral desain:ok jujur warna ny tidak sesuai ekspetasi ak,fashion,,,,,,,,,,,,,
r015606_c2,nyaman dipakai,fashion,,,,,,,,,,,,,
r002748_c0,tidak sesuai gambar depan terlalu pendek,fashion,,,,,,,,,,,,,
r003715_c5,kurir beratnggung jawab dan pesankan lagi warna hitam pakai toko online lain,other,,,,,,,,,,,,,
r005807_c1,untuk mollar jangan pakai yang ini :),craft,,,,,,,,,,,,,
r014728_c2,tidak bisa kaki sakit,fashion,,,,,,,,,,,,,
fresh_a3800afc77,bahannya tidak tipis enaken,fashion,,,,,,,,,,,,,
r025791_c1,dan sesuai deskripsi seller cepat respon,electronics,,,,,,,,,,,,,
r014206_c2,recommended seller banget,electronics,,,,,,,,,,,,,
r020131_c0,jam original n packaging rapi,fashion,,,,,,,,,,,,,
r027502_c1,kok tidak bisa digunakan yaa,electronics,,,,,,,,,,,,,
r003345_c0,nyaman banget dipakai,other,,,,,,,,,,,,,
r000576_c6,manis buatan banget,food_beverage,,,,,,,,,,,,,
r014111_c3,bonus atau gimana ya sis,electronics,,,,,,,,,,,,,
r033124_c0,barang ori,electronics,,,,,,,,,,,,,
r034115_c6,lengkap dengan plastik pembungkus nya,other,,,,,,,,,,,,,
r038896_c0,mungkin lebih baik lagi kalau disediakan ukuran,other,,,,,,,,,,,,,
r000567_c0,kue nya pas dateng dicoba asem,food_beverage,,,,,,,,,,,,,
fresh_3d40b274c4,nyaman dan pas si ukuranku,fashion,,,,,,,,,,,,,
r022682_c4,but oke lah,electronics,,,,,,,,,,,,,
r000413_c3,sambel ttp enak,food_beverage,,,,,,,,,,,,,
r003680_c6,boro2 dikonsumsi,other,,,,,,,,,,,,,
r006695_c0,mantap,craft,,,,,,,,,,,,,
fresh_73322326fd,kenyamanan:td tau tekstur:licin desain:b saja terawang banget minta hitam dkirim putih,fashion,,,,,,,,,,,,,
r013731_c2,di box hitam isinya doreng,electronics,,,,,,,,,,,,,
r015659_c1,nya sesuai gambar mungkin size&#39,fashion,,,,,,,,,,,,,
r003385_c1,penjualnya ramah banget nyaman di punggung packaging aman,other,,,,,,,,,,,,,
r003393_c2,panjang tongkat 100cm ada 2 sisi,electronics,,,,,,,,,,,,,
r014106_c1,pas banget dengan body miro,electronics,,,,,,,,,,,,,
r034224_c0,barang tlh kmi terima dengan baik n cepat,other,,,,,,,,,,,,,
r004137_c4,bahannya memang random dan tidak bisa milih,fashion,,,,,,,,,,,,,
r013406_c0,lumayan untuk harga yang semurah ini,electronics,,,,,,,,,,,,,
r000094_c2,terus menghubungi cs nya,electronics,,,,,,,,,,,,,
r034139_c1,lama nya kirim barang nya,other,,,,,,,,,,,,,
r002371_c2,barang bagus dan ori,other,,,,,,,,,,,,,
fresh_045857795e,ya sudah lah,fashion,,,,,,,,,,,,,
r022621_c0,bagus lumayan dengan harga segini,electronics,,,,,,,,,,,,,
r036668_c1,kemasan oke,other,,,,,,,,,,,,,
fresh_4e2df7ccf0,yang mahogany terlalu kecil bukan uk l itu,fashion,,,,,,,,,,,,,
r013134_c3,main jadi lebih asik,electronics,,,,,,,,,,,,,
r013703_c0,mantap barang sesuai deskripsi terima kasih,electronics,,,,,,,,,,,,,
r004231_c3,bisa kepakek untuk di rumah saja warnanya cantik,fashion,,,,,,,,,,,,,
fresh_8e87c162bf,saya chekout nya warna coklat😕,fashion,,,,,,,,,,,,,
r011624_c0,kwalitas barang sesuai harga,electronics,,,,,,,,,,,,,
fresh_5275da42cd,mines bukan warna yang saya mau tekstur:bahannya kaos tidak gerah juga enak ko,fashion,,,,,,,,,,,,,
fresh_9c3aff9c67,yang dateng malah hitam,fashion,,,,,,,,,,,,,
r000369_c0,proses cepat produk bagus finising mulus,other,,,,,,,,,,,,,
r022948_c3,rugi,electronics,,,,,,,,,,,,,
r018413_c0,produk ori lengkap dengan box,fashion,,,,,,,,,,,,,
r000094_c4,hadeuhh,electronics,,,,,,,,,,,,,
fresh_d075c5004d,sudah 1 minggu loh nungguin balasan,fashion,,,,,,,,,,,,,
r016641_c1,packing rapi,fashion,,,,,,,,,,,,,
